model,accuracy,precision,recall,f1_score
Logistic Regression,0.7105263157894737,0.9287749287749287,0.6680327868852459,0.7771156138259833
Decision Tree,0.7136222910216719,0.9083557951482479,0.6905737704918032,0.7846332945285215
Random Forest,0.7693498452012384,0.8988235294117647,0.7827868852459017,0.836801752464403
