main_genre,profit
Animation,218527438.12244898
Family,172206322.52631578
Adventure,170718673.9236111
Science Fiction,146139274.6835443
Fantasy,119642573.50537634
Action,97322816.1632653
Romance,69887043.1
History,69217217.5
Mystery,65985200.74074074
Thriller,60873099.847457625
